qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
2398,eligible,eligible,"The passages confirm iron ore in Australia predominantly comes from Western Australia (Pilbara region), matching the recorded gold answer.","The question asks for the source region of Australian iron ore, and the passages clearly support Western Australia (especially the Pilbara) as the dominant source, matching the gold.",where does iron ore come from in australia,"[""Western Australia""]",eligible,eligible
2401,unanswerable,wrong_gold,"The passages describe bingo mechanics like prize systems and callers but never state the actual word or phrase a winner shouts, so the gold answers cannot be verified from this corpus.","The gold answer list mixes an irrelevant ""Yes"" with call-types like ""Line"" and ""House"" rather than giving the single shout said on winning, making the recorded gold incoherent/incorrect for the question asked.",what do you say when you win bingo,"[""Yes"", ""Bingo"", ""Line"", ""House""]",ineligible,ineligible_class_disputed
2404,unanswerable,unanswerable,"The passages provide extensive history of Philadelphia but never mention the nickname 'City of Brotherly Love,' so the gold answer cannot be verified from this text.","The question is clear and the gold nickname is correct, but the provided passage never mentions Philadelphia's 'City of Brotherly Love' nickname, so it cannot settle the answer.",philadelphia is known as the city of what,"[""City of Brotherly Love"", ""Brotherly Love""]",ineligible,unanswerable
2425,eligible,eligible,"The passages confir[passage text redacted]men's curling team, led by John Shuster, won[passage text redacted]Pyeongchang Olympics, matching the recorded gold answer.","The question specifies the 2018[passage text redacted]event, and the passages confir[passage text redacted](John Shuster's team) won the gold medal, matching the recorded gold.",who won the mens curling in the olympics 2018,"[""United States""]",eligible,eligible
2430,eligible,unanswerable,"The question asks about the all-time Olympic gold medal leader, and[passage text redacted]s well established as the overall record holder despite being outpaced by other nations in individual Games, so the gold answer is correct and supported.","The question about the all-time Olympic gold medal leader has a sound gold answer, but the passages only discuss individual Games editions and never state cumulative all-time gold medal totals by country.",country with most olympic gold medals all time,"[""United States""]",eligible,eligible
2458,eligible,eligible,"The passage explicitly states the Beatles are[passage text redacted]as having[passage text redacted]history, supporting the gold answer.","The passages explicitly state that the Beatles are[passage text redacted]o[passage text redacted]recorded music history, matching the gold answer.",who is the most selling music artist of all time,"[""The Beatles""]",eligible,eligible
2468,eligible,eligible,"The passages confirm the main characters primarily lived in Manhattan, New York City, supporting the gold answer.","The question asks where the Sex and the City characters lived, and the passages confirm the New York City / Manhattan setting, matching the recorded gold.",where did they live in sex and the city,"[""New York City""]",eligible,eligible
2469,eligible,eligible,"The passages clearly list the five founding members[passage text redacted], matching the recorded gold answers.",The question asks for the members of[passage text redacted]the passages explicitly list the five founding members matching the gold answers.,who are the artists in the traveling wilburys,"[""Roy Orbison"", ""Jeff Lynne"", ""George Harrison"", ""Bob Dylan"", ""Tom Petty""]",eligible,eligible
2479,eligible,eligible,"The passage explicitly states the fif[passage text redacted]December 1, 2017, matching the gold answer.","The question asks for the fifth season's premiere date, and the passages explicitly confirm[passage text redacted][passage text redacted]matching the gold.",when does agents of shield season five start,"[""December 1, 2017""]",eligible,eligible
2495,eligible,wrong_gold,"The passages confirm that party leaders in each chamber[passage text redacted]party members through their respective caucuses ([passage text redacted][passage text redacted], and analogous House party groups), matching the gold answers.","The question asks how party leaders in Congress are chosen (i.e., by secret ballot election within[passage text redacted]), but the recorded golds merely name the two Senate party caucuses, answering a different question about who elects Senate leaders rather than the method of selection across Congres",how are leaders of the two parties in congress chosen,"[""Senate Republican Conference"", ""Senate Democratic Caucus""]",eligible,eligible
2501,eligible,eligible,"The passages support multiple defensible dates (Lovelock's 1973 measurements, Rowland and Molina's 1974 publication, and the broader 'late 1970s' regulatory recognition), all of which match the recorded gold answers.","The question asks when the CFC ozone problem was discovered, and the passages support the 1974 Rowland-Molina publication and the surrounding 1970s timeframe, matching the recorded golds.",when was the problem of cfc's discovered,"[""late 1970s"", ""1974"", ""1973"", ""1970s""]",eligible,eligible
2502,ambiguous,ambiguous,"Multiple US presidents (e.g., Ford and Kennedy/Johnson) were Boy Scouts or connected to Scouting, so the question without further specificity does not uniquely determine Gerald Ford as the answer.","Many U.S. presidents were involved in Scouting as boys, so asking which president ""was a boy scout"" does not single out one person, even though Gerald Ford is the notable Eagle Scout the passages emphasize.",which president of the united states was a boy scout,"[""Gerald Ford"", ""President Gerald Ford""]",ineligible,ambiguous
2504,ambiguous,ambiguous,"The passages present multiple conflicting candidates ([passage text redacted]Page Act of 1875, and[passage text redacted]) as the 'first' restriction depending on whether one means racial citizenship limits or[passage text redacted] specifically, so the question underdetermines which se","The question's phrase ""first significant restriction on free immigration"" underdetermines which law is meant — the passages variously credit the 1790[passage text redacted](citizenship, not immigration), the 1875 Page Act ([passage text redacted]), and the 1882[passage text redacted]—",the first significant restriction on free immigration in u.s. history was the,"[""Naturalization Act of 1790"", ""Chinese Exclusion Act in 1882""]",ineligible,ambiguous
